Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR15401381_1	SRR15401381_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14187803.0	709.3 Mbp	0.0	50.0	42.0	58.30803927081409	50.0	50	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass	
SRR15401381_2	SRR15401381_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14187803.0	709.3 Mbp	0.0	50.0	44.0	61.940238452086874	50.0	50	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass	
SRR15401382_1	SRR15401382_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31990830.0	1.5 Gbp	0.0	50.0	42.0	50.258580873952006	50.0	50	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass	
SRR15401382_2	SRR15401382_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31990830.0	1.5 Gbp	0.0	50.0	43.0	52.176537643587736	50.0	50	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass	
SRR15401383_1	SRR15401383_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42715919.0	2.1 Gbp	0.0	50.0	42.0	46.983899226676165	50.0	50	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass	
SRR15401383_2	SRR15401383_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42715919.0	2.1 Gbp	0.0	50.0	43.0	48.980752956050715	50.0	50	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass	
SRR15401384_1	SRR15401384_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39912197.0	1.9 Gbp	0.0	50.0	42.0	46.40357824919206	50.0	50	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass	
SRR15401384_2	SRR15401384_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39912197.0	1.9 Gbp	0.0	50.0	43.0	50.90941771396636	50.0	50	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass	
SRR15401385_1	SRR15401385_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31197944.0	1.5 Gbp	0.0	50.0	42.0	58.950328226495266	50.0	50	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass	
SRR15401385_2	SRR15401385_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31197944.0	1.5 Gbp	0.0	50.0	43.0	61.301187894027656	50.0	50	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass	
SRR15401386_1	SRR15401386_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31435156.0	1.5 Gbp	0.0	50.0	41.0	55.80019379584985	50.0	50	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass	
SRR15401386_2	SRR15401386_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31435156.0	1.5 Gbp	0.0	50.0	43.0	60.58952390825405	50.0	50	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass	
